1st Auto & Casualty   J1585   Professional Claims 837P
3P Admin   39081   Professional Claims 837P
3P Admin   39081   Institutional Claims 837I
3P Admin   39081   Dental Claims 837D
6 Degrees Health, Inc.   20446   Professional Claims 837P
6 Degrees Health, Inc.   20446   Institutional Claims 837I
8th District Elec   74234   Professional Claims 837P
21st Century Health and Benefits   59069   Professional Claims 837P
21st Century Health and Benefits   59069   Institutional Claims 837I
21st Century Insurance   41556   Professional Claims 837P
90 Degree Benefits   58102   Professional Claims 837P
90 Degree Benefits   58102   Remits 835
90 Degree Benefits   58102   Institutional Claims 837I
1199 National Benefit Fund   13162   Professional Claims 837P
1199 National Benefit Fund   13162   Institutional Claims 837I
1199 National Benefit Fund   13162   Remits 835
A-G Administrators LLC   11370   Professional Claims 837P
A-G Administrators LLC   11370   Institutional Claims 837I
A.W. Holdings LLC Dba Benchmark - CORVEL   J1976   Professional Claims 837P
AAA Automobile   11983   Professional Claims 837P
AAA Northern California, Nevada & Utah Insurance Exchange   41556   Professional Claims 837P
AAG - American Administrative Group   75240   Professional Claims 837P
AAG - American Administrative Group   75240   Institutional Claims 837I
AAG Benefit Plan Administrators, Inc.   75240   Professional Claims 837P
AAG Benefit Plan Administrators, Inc.   75240   Institutional Claims 837I
AARP by UnitedHealthcare   36273   Eligibility 270 / 271
AARP Dental Insurance Plan   AARP1   Dental Claims 837D
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company   36273   Professional Claims 837P
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company   36273   Institutional Claims 837I
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company   36273   Remits 835
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company   36273   Professional Claims 837P
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company   36273   Institutional Claims 837I
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company   36273   Remits 835
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons)   87726   Dental Claims 837D
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons)   87726   Professional Claims 837P
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons)   87726   Institutional Claims 837I
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete   87726   Professional Claims 837P
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete   87726   Institutional Claims 837I
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete   87726   Dental Claims 837D
